player_name,draft_year,pick,round,college,age,best_ppr,best_ppg,best_season,season_rank,hit24,hit12,RAS,rec_yards,receptions,team_pass_att,cfbd_name,rec_per_pass_att,age_wt,production_raw,production_score
La'Mical Perine,2020,120,4,Florida,22.0,52.5,3.088235294117647,2020.0,77.0,0,0,5.25,262.0,40.0,467.0,lamical perine,0.5610278372591007,1.0,0.5610278372591007,32.39808300193739
Anthony McFarland Jr.,2020,124,4,Maryland,22.0,0.0,0.0,,,0,0,,126.0,17.0,342.0,anthony mcfarland,0.3684210526315789,1.0,0.3684210526315789,20.621553884711776
DeeJay Dallas,2020,144,4,Miami (FL),21.0,60.1,3.5352941176470587,2021.0,71.0,0,0,,140.0,14.0,437.0,deejay dallas,0.32036613272311215,1.1,0.35240274599542337,19.642148850386835
Jason Huntley,2020,172,5,New Mexico St.,22.0,5.1000000000000005,0.3,2021.0,128.0,0,0,8.08,192.0,40.0,446.0,jason huntley,0.4304932735426009,1.0,0.4304932735426009,24.416826820414265
Eno Benjamin,2020,222,7,Arizona St.,21.0,89.60000000000001,5.270588235294119,2022.0,52.0,0,0,5.76,347.0,42.0,383.0,eno benjamin,0.9060052219321149,1.1,0.9966057441253264,59.03056073604377
Raymond Calais,2020,245,7,Louisiana,22.0,0.0,0.0,,,0,0,7.6,67.0,10.0,412.0,raymond calais,0.16262135922330098,1.0,0.16262135922330098,8.038372630605641
Malcolm Perry,2020,246,7,Navy,23.0,24.7,1.4529411764705882,2020.0,97.0,0,0,,167.0,9.0,129.0,malcolm perry,1.2945736434108528,0.9,1.1651162790697676,69.33377630121817
Najee Harris,2021,24,1,Alabama,23.0,303.5,17.852941176470587,2021.0,4.0,1,1,,425.0,43.0,425.0,najee harris,1.0,0.9,0.9,53.12380952380952
Travis Etienne,2021,25,1,Clemson,22.0,282.4,16.61176470588235,2023.0,5.0,1,1,9.12,588.0,48.0,490.0,travis etienne,1.2,1.0,1.2,71.46666666666665
Javonte Williams,2021,35,2,North Carolina,21.0,204.9,12.052941176470588,2021.0,18.0,1,0,8.79,305.0,25.0,357.0,javonte williams,0.8543417366946778,1.1,0.9397759103641457,55.55582232893157
Trey Sermon,2021,88,3,Ohio St.,22.0,53.8,3.164705882352941,2024.0,66.0,0,0,9.67,95.0,12.0,225.0,trey sermon,0.4222222222222222,1.0,0.4222222222222222,23.91111111111111
Michael Carter,2021,107,4,North Carolina,22.0,154.4,9.08235294117647,2021.0,30.0,0,0,6.2,267.0,25.0,357.0,michael carter,0.7478991596638656,1.0,0.7478991596638656,43.82392957182873
Kene Nwangwu,2021,119,4,Iowa St.,23.0,11.0,0.6470588235294118,2021.0,116.0,0,0,9.88,22.0,3.0,372.0,kene nwangwu,0.05913978494623656,0.9,0.05322580645161291,1.3496159754224273
Rhamondre Stevenson,2021,120,4,Oklahoma,23.0,249.1,14.65294117647059,2022.0,10.0,1,1,3.98,211.0,18.0,362.0,rhamondre stevenson,0.5828729281767956,0.9,0.5245856353591161,30.169902657195475
Chuba Hubbard,2021,126,4,Oklahoma St.,22.0,241.6,14.211764705882352,2024.0,16.0,1,0,8.43,52.0,8.0,340.0,chuba hubbard,0.15294117647058825,1.0,0.15294117647058825,7.446498599439775
Kenneth Gainwell,2021,150,5,Memphis,22.0,139.9,8.229411764705883,2021.0,35.0,0,0,5.66,610.0,51.0,441.0,kenneth gainwell,1.383219954648526,1.0,1.383219954648526,82.66925817946226
Elijah Mitchell,2021,194,6,Louisiana,23.0,200.6,11.8,2021.0,20.0,1,0,9.5,153.0,16.0,308.0,elijah mitchell,0.4967532467532468,0.9,0.44707792207792213,25.430859616573905
Gary Brightwell,2021,196,6,Arizona,22.0,30.0,1.7647058823529411,2022.0,89.0,0,0,4.57,58.0,13.0,188.0,gary brightwell,0.30851063829787234,1.0,0.30851063829787234,16.958459979736578
