prospect,position,prospect_college,prospect_pick,prospect_year,comp_rank,comp_player,comp_college,comp_pick,comp_year,similarity_score,comparison_coverage,dominant_category,category_breakdown,hit24,hit12,career_ppg,first_3yr_ppg,nfl_best_season_ppg
Max Klare,TE,Ohio State,0,2026,5,Cade Otton,Washington,0,2022,83.2,0.55,size_speed,draft_capital=0.56; size_speed=1.74; production=0.34; slap_score=0.17,1.0,0.0,10.042857142857144,10.042857142857144,10.042857142857144
Max Klare,TE,Ohio State,0,2026,6,Tyler Kroft,Rutgers,0,2015,83.0,0.55,size_speed,draft_capital=0.17; size_speed=1.50; production=0.72; slap_score=0.27,0.0,0.0,8.293333333333333,8.293333333333333,8.293333333333333
Max Klare,TE,Ohio State,0,2026,7,Cameron Latu,Alabama,0,2023,81.9,0.55,size_speed,draft_capital=0.48; size_speed=1.18; production=0.78; slap_score=0.57,0.0,0.0,,,0.0
Max Klare,TE,Ohio State,0,2026,8,Irv Smith Jr.,Alabama,0,2019,81.6,0.55,production,draft_capital=0.25; size_speed=0.41; production=1.20; slap_score=0.26,0.0,0.0,8.2083331545194,8.2083331545194,8.2083331545194
Max Klare,TE,Ohio State,0,2026,9,Jace Sternberger,Texas A&M,0,2019,81.1,0.55,production,draft_capital=0.02; size_speed=0.62; production=1.22; slap_score=0.20,0.0,0.0,3.67500002682209,3.67500002682209,3.67500002682209
Max Klare,TE,Ohio State,0,2026,10,Ja'Tavion Sanders,Texas,0,2024,81.1,0.55,production,draft_capital=0.48; size_speed=0.93; production=1.08; slap_score=0.31,0.0,0.0,4.909090909090909,4.909090909090909,4.909090909090909
Justin Joly,TE,NC State,0,2026,1,Nick Vannett,Ohio St.,0,2016,88.0,0.475,size_speed,draft_capital=0.07; size_speed=0.89; production=0.56; slap_score=0.34,0.0,0.0,4.926666666666667,4.926666666666667,4.926666666666667
Justin Joly,TE,NC State,0,2026,2,Chris Herndon,Miami (FL),0,2018,87.9,0.512,production,draft_capital=0.21; size_speed=0.51; production=0.71; slap_score=0.34,0.0,0.0,8.085714285714285,8.085714285714285,8.085714285714285
Justin Joly,TE,NC State,0,2026,3,Devin Asiasi,UCLA,0,2020,83.9,0.55,size_speed,draft_capital=0.15; size_speed=1.10; production=0.88; slap_score=0.13,0.0,0.0,,,0.0
Justin Joly,TE,NC State,0,2026,4,Cade Otton,Washington,0,2022,83.8,0.55,size_speed,draft_capital=0.18; size_speed=1.74; production=0.46; slap_score=0.01,1.0,0.0,10.042857142857144,10.042857142857144,10.042857142857144
